,_fivetran_id,follower_counts_organic_follower_count,follower_counts_paid_follower_count,_organization_entity_urn,staff_count_range,_fivetran_synced
0,MiuWtT6bjERmDJjGq0BGrLBzSSE=,2,0,urn:li:organization:69569872,SIZE_1001_TO_5000,2022-08-08 10:42:05.967000+00:00
1,nkmAoUXMAzO+ctBARVIqV7meM44=,9,0,urn:li:organization:11841037,SIZE_1,2022-08-08 10:42:18.864000+00:00
2,QMbK8TwlRsNT+x1WLwJs4hunsQM=,7,0,urn:li:organization:69569872,SIZE_501_TO_1000,2022-08-08 10:42:05.956000+00:00
3,iCJOhpCS/W0008A9/xFfVe7GqaU=,3,0,urn:li:organization:78306774,SIZE_2_TO_10,2022-08-08 10:42:26.100000+00:00
4,ax+Jj94oMvZWgn1p4qV8oITWmD4=,107,0,urn:li:organization:11841037,SIZE_501_TO_1000,2022-08-08 10:42:18.863000+00:00
5,rAmh//MTSkZ/6gGR9u+exFTOjIE=,2,0,urn:li:organization:78306774,SIZE_201_TO_500,2022-08-08 10:42:26.100000+00:00
6,iyfPDBR0kPsPDQRl5TR2I/8BCDs=,117,0,urn:li:organization:11841037,SIZE_2_TO_10,2022-08-08 10:42:18.862000+00:00
7,LJVSQ+5yo3UszCJNlLY//keAIpE=,3,0,urn:li:organizationBrand:69569872,SIZE_201_TO_500,2022-08-08 10:42:37.907000+00:00
8,wQNnVC0QqJRDXwQnJ7dsxTSAWnI=,4,0,urn:li:organizationBrand:69569872,SIZE_2_TO_10,2022-08-08 10:42:37.907000+00:00
9,J6+WHwRrOOKIkHP9PTf29lal6Gg=,2,0,urn:li:organization:69569872,SIZE_5001_TO_10000,2022-08-08 10:42:05.969000+00:00
10,hRbqpa4D26RYHkzdy3qmG9T+wN0=,4,0,urn:li:organization:69569872,SIZE_2_TO_10,2022-08-08 10:42:05.963000+00:00
11,neOKw1wmkO3ivetOc06qiU/GXEI=,1,0,urn:li:organization:78306774,SIZE_5001_TO_10000,2022-08-08 10:42:26.101000+00:00
12,yovMRDM1Xas3Ik179Y1K7xFQ4WE=,4,0,urn:li:organization:78306774,SIZE_11_TO_50,2022-08-08 10:42:26.098000+00:00
13,BC2SpgUDV9j0d2yh1ZJq0qE6A2g=,129,0,urn:li:organization:11841037,SIZE_201_TO_500,2022-08-08 10:42:18.862000+00:00
14,UZCB4mzzglxIgoXyxpkYKX5FzQ0=,3,0,urn:li:organization:69569872,SIZE_201_TO_500,2022-08-08 10:42:05.965000+00:00
15,psQjrbPzoFQQyAwk5GCZdyEAY7E=,2,0,urn:li:organizationBrand:69569872,SIZE_1001_TO_5000,2022-08-08 10:42:37.908000+00:00
16,G/gsbTYlnCr0O/WF2bFefoKqCmU=,7,0,urn:li:organizationBrand:69569872,SIZE_10001_OR_MORE,2022-08-08 10:42:37.906000+00:00
17,undh0a25l6Z2wZfKyQA3fIB1NFo=,2,0,urn:li:organizationBrand:69569872,SIZE_5001_TO_10000,2022-08-08 10:42:37.908000+00:00
18,sNOd+Nw5hFe54+6q6Df7Aa4PP1c=,135,0,urn:li:organization:11841037,SIZE_51_TO_200,2022-08-08 10:42:18.861000+00:00
19,YNM3Kwb0FjqZAo3qCHnxKHECjyo=,273,0,urn:li:organization:11841037,SIZE_10001_OR_MORE,2022-08-08 10:42:18.859000+00:00
20,yhrNAx8sVoFr8lI442JMCMTcFM8=,56,0,urn:li:organization:11841037,SIZE_5001_TO_10000,2022-08-08 10:42:18.864000+00:00
21,koFZytrrMyk3hgT7pP5J43xUm/U=,8,0,urn:li:organizationBrand:69569872,SIZE_51_TO_200,2022-08-08 10:42:37.904000+00:00
22,/POIDTMPlPDFYzbISdeO/78Llco=,8,0,urn:li:organization:69569872,SIZE_51_TO_200,2022-08-08 10:42:05.954000+00:00
23,tBHAyNnVbYqE0rxRASncdPOkEGY=,9,0,urn:li:organization:78306774,SIZE_10001_OR_MORE,2022-08-08 10:42:26.097000+00:00
24,EROSiR3IDodB7bVG8SjVrHsSGXM=,163,0,urn:li:organization:11841037,SIZE_11_TO_50,2022-08-08 10:42:18.860000+00:00
25,rUoPDilvc/lNZ+5gRRRpSme9x08=,7,0,urn:li:organizationBrand:69569872,SIZE_501_TO_1000,2022-08-08 10:42:37.905000+00:00
26,Otw5uHErGtr9C7vhM77fG8VW4hQ=,6,0,urn:li:organization:69569872,SIZE_11_TO_50,2022-08-08 10:42:05.961000+00:00
27,SUZWytDMW2bhZlubrX0okCDMOEE=,184,0,urn:li:organization:11841037,SIZE_1001_TO_5000,2022-08-08 10:42:18.860000+00:00
28,1S0TkfpLMtEaCbCi6DlhhprnRkY=,6,0,urn:li:organizationBrand:69569872,SIZE_11_TO_50,2022-08-08 10:42:37.906000+00:00
29,ow1vOhR7clRgrCq9wECUsypJPrA=,7,0,urn:li:organization:69569872,SIZE_10001_OR_MORE,2022-08-08 10:42:05.959000+00:00
30,ZJ5oKTomEuzP0QGzLvm3Yy9ZEPg=,4,0,urn:li:organization:78306774,SIZE_501_TO_1000,2022-08-08 10:42:26.098000+00:00
31,/XaIay7W5spgqsIQ8r5kA7Ih1/I=,4,0,urn:li:organization:78306774,SIZE_1001_TO_5000,2022-08-08 10:42:26.099000+00:00
